"TERMS AND CONDITIONS"
"https://www.bankofcanada.ca/terms/"

"NAME"
"Legacy Closing Rates"

"DESCRIPTION"
"The legacy exchange rates were last updated 28 April 2017 and will not be updated in future. Exchange rates are expressed as 1 unit of the foreign currency converted into Canadian dollars. All Bank of Canada exchange rates are indicative rates only."

"LINK"
"https://www.bankofcanada.ca/?p=190915"

"SERIES"
"id","label","description"
"IEXE1601.CL","AUD_CLOSE","Australian dollar (close)"
"IEXE0301.CL","DKK_CLOSE","Danish krone (close)"
"EUROCAE01.CL","EUR_CLOSE","European Euro (close)"
"IEXE1401.CL","HKD_CLOSE","Hong Kong dollar (close)"
"IEXE0701.CL","JPY_CLOSE","Japanese yen (close)"
"IEXE2001.CL","MXN_CLOSE","Mexican peso (close)"
"IEXE1901.CL","NZD_CLOSE","New Zealand dollar (close)"
"IEXE0901.CL","NOK_CLOSE","Norwegian krone (close)"
"IEXE1001.CL","SEK_CLOSE","Swedish krona (close)"
"IEXE1101.CL","CHF_CLOSE","Swiss franc (close)"
"IEXE1201.CL","GBP_CLOSE","U.K. pound sterling (close)"
"IEXE0102","USD_CLOSE","U.S. dollar (close)"
"IEXE0103","USD_HIGH","U.S. dollar (high)"
"IEXE0104","USD_LOW","U.S. dollar (low)"
"IEXE0106","USD_CLOSE_90_DAY","U.S. dollar closing,90-day"

"OBSERVATIONS"
"date","IEXE1601.CL","IEXE0301.CL","EUROCAE01.CL","IEXE1401.CL","IEXE0701.CL","IEXE2001.CL","IEXE1901.CL","IEXE0901.CL","IEXE1001.CL","IEXE1101.CL","IEXE1201.CL","IEXE0102","IEXE0103","IEXE0104","IEXE0106"
"2009-07-08","0.9076","0.2176","1.6207","0.150647","0.01260","0.08623","0.7310","0.1778","0.1465","1.0708","1.8748","1.1676","1.1725","1.1587","1.1670"
"2009-07-09","0.9102","0.2190","1.6311","0.149962","0.01250","0.08565","0.7322","0.1796","0.1484","1.0786","1.9001","1.1623","1.1645","1.1547","1.1617"
"2009-07-10","0.9069","0.2182","1.6246","0.150277","0.01260","0.08519","0.7309","0.1784","0.1467","1.0735","1.8877","1.1647","1.1677","1.1605","1.1641"
"2009-07-13","0.9023","0.2165","1.6121","0.148607","0.01240","0.08392","0.7297","0.1777","0.1463","1.0648","1.8696","1.1518","1.1660","1.1511","1.1512"
"2009-07-14","0.8970","0.2127","1.5835","0.146574","0.01217","0.08236","0.7216","0.1753","0.1434","1.0416","1.8504","1.1360","1.1466","1.1343","1.1355"
"2009-07-15","0.8954","0.2112","1.5720","0.143776","0.01181","0.08232","0.7245","0.1745","0.1435","1.0370","1.8298","1.1143","1.1264","1.1117","1.1139"
"2009-07-16","0.8993","0.2122","1.5799","0.144152","0.01191","0.08223","0.7238","0.1754","0.1434","1.0403","1.8360","1.1172","1.1206","1.1125","1.1168"
"2009-07-17","0.8948","0.2114","1.5737","0.144010","0.01183","0.08355","0.7178","0.1746","0.1425","1.0365","1.8241","1.1161","1.1196","1.1129","1.1157"
"2009-07-20","0.9036","0.2115","1.5746","0.142816","0.01174","0.08322","0.7272","0.1752","0.1428","1.0361","1.8314","1.1068","1.1095","1.1039","1.1064"
"2009-07-21","0.9018","0.2111","1.5720","0.142847","0.01182","0.08305","0.7238","0.1757","0.1447","1.0366","1.8191","1.1071","1.1115","1.0965","1.1067"
"2009-07-22","0.8965","0.2097","1.5613","0.141744","0.01174","0.08301","0.7246","0.1743","0.1446","1.0304","1.8077","1.0985","1.1080","1.0950","1.0981"
"2009-07-23","0.8862","0.2072","1.5424","0.140191","0.01143","0.08220","0.7140","0.1732","0.1454","1.0130","1.7946","1.0865","1.1010","1.0841","1.0861"
"2009-07-24","0.8845","0.2068","1.5393","0.139731","0.01143","0.08195","0.7102","0.1737","0.1450","1.0110","1.7792","1.0829","1.0853","1.0794","1.0825"
"2009-07-27","0.8895","0.2068","1.5394","0.139495","0.01136","0.08148","0.7096","0.1748","0.1463","1.0099","1.7832","1.0811","1.0843","1.0790","1.0807"
"2009-07-28","0.8974","0.2062","1.5349","0.139754","0.01145","0.08204","0.7136","0.1748","0.1449","1.0073","1.7806","1.0831","1.0907","1.0782","1.0827"
"2009-07-29","0.8904","0.2056","1.5307","0.140737","0.01149","0.08227","0.7147","0.1740","0.1450","1.0029","1.7856","1.0907","1.0935","1.0828","1.0903"
"2009-07-30","0.8942","0.2048","1.5249","0.139899","0.01136","0.08180","0.7067","0.1741","0.1460","0.9962","1.7871","1.0842","1.0858","1.0803","1.0838"
"2009-07-31","0.9012","0.2062","1.5357","0.139035","0.01139","0.08158","0.7135","0.1758","0.1493","1.0082","1.7999","1.0775","1.0858","1.0763","1.0771"
"2009-08-04","0.9071","0.2078","1.5471","0.138646","0.01128","0.08180","0.7204","0.1775","0.1503","1.0129","1.8197","1.0745","1.0767","1.0670","1.0741"
"2009-08-05","0.8998","0.2072","1.5425","0.138074","0.01127","0.08195","0.7211","0.1780","0.1499","1.0087","1.8192","1.0701","1.0780","1.0678","1.0697"
"2009-08-06","0.9042","0.2076","1.5458","0.138925","0.01129","0.08263","0.7221","0.1774","0.1505","1.0113","1.8072","1.0767","1.0800","1.0687","1.0763"
"2009-08-07","0.9044","0.2060","1.5338","0.139643","0.01110","0.08359","0.7274","0.1767","0.1509","1.0001","1.8057","1.0823","1.0868","1.0768","1.0819"
"2009-08-10","0.9115","0.2068","1.5395","0.140469","0.01121","0.08418","0.7358","0.1751","0.1499","1.0029","1.7927","1.0887","1.0929","1.0795","1.0884"
"2009-08-11","0.9139","0.2094","1.5588","0.142115","0.01148","0.08466","0.7356","0.1769","0.1505","1.0182","1.8152","1.1015","1.1048","1.0947","1.1012"
