# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2456295,"2013/01/02","Wed",0.98590
2456296,"2013/01/03","Thu",0.98530
2456297,"2013/01/04","Fri",0.98560
2456300,"2013/01/07","Mon",0.98600
2456301,"2013/01/08","Tue",0.98730
2456302,"2013/01/09","Wed",0.98680
2456303,"2013/01/10","Thu",0.98600
2456304,"2013/01/11","Fri",0.98410
2456307,"2013/01/14","Mon",0.98400
2456308,"2013/01/15","Tue",0.98390
2456309,"2013/01/16","Wed",0.98500
2456310,"2013/01/17","Thu",0.98530
2456311,"2013/01/18","Fri",0.99370
2456314,"2013/01/21","Mon",0.99330
2456315,"2013/01/22","Tue",0.99340
2456316,"2013/01/23","Wed",0.99860
2456317,"2013/01/24","Thu",1.00260
2456318,"2013/01/25","Fri",1.00780
2456321,"2013/01/28","Mon",1.00690
2456322,"2013/01/29","Tue",1.00290
2456323,"2013/01/30","Wed",1.00330
2456324,"2013/01/31","Thu",0.99920
2456325,"2013/02/01","Fri",0.99870
2456328,"2013/02/04","Mon",0.99770
2456329,"2013/02/05","Tue",0.99720
2456330,"2013/02/06","Wed",0.99600
2456331,"2013/02/07","Thu",0.99930
2456332,"2013/02/08","Fri",1.00200
2456335,"2013/02/11","Mon",1.00650
2456336,"2013/02/12","Tue",1.00290
2456337,"2013/02/13","Wed",1.00200
2456338,"2013/02/14","Thu",1.00080
2456339,"2013/02/15","Fri",1.00700
2456343,"2013/02/19","Tue",1.01180
2456344,"2013/02/20","Wed",1.01630
2456345,"2013/02/21","Thu",1.01850
2456346,"2013/02/22","Fri",1.02240
2456349,"2013/02/25","Mon",1.02650
2456350,"2013/02/26","Tue",1.02800
2456351,"2013/02/27","Wed",1.02500
2456352,"2013/02/28","Thu",1.02850
2456353,"2013/03/01","Fri",1.02850
2456356,"2013/03/04","Mon",1.02980
2456357,"2013/03/05","Tue",1.02900
2456358,"2013/03/06","Wed",1.03140
2456359,"2013/03/07","Thu",1.03020
2456360,"2013/03/08","Fri",1.02730
2456363,"2013/03/11","Mon",1.02680
2456364,"2013/03/12","Tue",1.02540
2456365,"2013/03/13","Wed",1.02730
2456366,"2013/03/14","Thu",1.02610
2456367,"2013/03/15","Fri",1.01930
2456370,"2013/03/18","Mon",1.02170
2456371,"2013/03/19","Tue",1.02740
2456372,"2013/03/20","Wed",1.02680
2456373,"2013/03/21","Thu",1.02410
2456374,"2013/03/22","Fri",1.02250
2456377,"2013/03/25","Mon",1.02180
2456378,"2013/03/26","Tue",1.01660
2456379,"2013/03/27","Wed",1.01700
2456380,"2013/03/28","Thu",1.01560
2456384,"2013/04/01","Mon",1.01670
2456385,"2013/04/02","Tue",1.01480
2456386,"2013/04/03","Wed",1.01340
2456387,"2013/04/04","Thu",1.01390
2456388,"2013/04/05","Fri",1.01910
2456391,"2013/04/08","Mon",1.01980
2456392,"2013/04/09","Tue",1.01620
2456393,"2013/04/10","Wed",1.01500
2456394,"2013/04/11","Thu",1.01070
2456395,"2013/04/12","Fri",1.01340
2456398,"2013/04/15","Mon",1.02060
2456399,"2013/04/16","Tue",1.02300
2456400,"2013/04/17","Wed",1.02620
2456401,"2013/04/18","Thu",1.02550
2456402,"2013/04/19","Fri",1.02640
2456405,"2013/04/22","Mon",1.02630
2456406,"2013/04/23","Tue",1.02590
2456407,"2013/04/24","Wed",1.02700
2456408,"2013/04/25","Thu",1.01940
2456409,"2013/04/26","Fri",1.01700
2456412,"2013/04/29","Mon",1.01380
2456413,"2013/04/30","Tue",1.00720
2456414,"2013/05/01","Wed",1.00840
2456415,"2013/05/02","Thu",1.00830
2456416,"2013/05/03","Fri",1.00790
2456419,"2013/05/06","Mon",1.00750
2456420,"2013/05/07","Tue",1.00520
2456421,"2013/05/08","Wed",1.00230
2456422,"2013/05/09","Thu",1.00270
2456423,"2013/05/10","Fri",1.01240
2456426,"2013/05/13","Mon",1.01080
2456427,"2013/05/14","Tue",1.01480
2456428,"2013/05/15","Wed",1.01730
2456429,"2013/05/16","Thu",1.01630
2456430,"2013/05/17","Fri",1.02690
2456434,"2013/05/21","Tue",1.02770
2456435,"2013/05/22","Wed",1.03330
2456436,"2013/05/23","Thu",1.03100
2456437,"2013/05/24","Fri",1.03230
2456440,"2013/05/27","Mon",1.03290
2456441,"2013/05/28","Tue",1.03710
2456442,"2013/05/29","Wed",1.03700
2456443,"2013/05/30","Thu",1.03090
2456444,"2013/05/31","Fri",1.03390
2456447,"2013/06/03","Mon",1.02910
2456448,"2013/06/04","Tue",1.03480
2456449,"2013/06/05","Wed",1.03450
2456450,"2013/06/06","Thu",1.02380
2456451,"2013/06/07","Fri",1.02100
2456454,"2013/06/10","Mon",1.01870
2456455,"2013/06/11","Tue",1.01900
2456456,"2013/06/12","Wed",1.02020
2456457,"2013/06/13","Thu",1.01700
2456458,"2013/06/14","Fri",1.01770
2456461,"2013/06/17","Mon",1.01760
2456462,"2013/06/18","Tue",1.02090
2456463,"2013/06/19","Wed",1.01870
2456464,"2013/06/20","Thu",1.03870
2456465,"2013/06/21","Fri",1.04700
2456468,"2013/06/24","Mon",1.05320
2456469,"2013/06/25","Tue",1.05130
2456470,"2013/06/26","Wed",1.04690
2456471,"2013/06/27","Thu",1.04800
2456472,"2013/06/28","Fri",1.05120
2456476,"2013/07/02","Tue",1.05300
2456477,"2013/07/03","Wed",1.05230
2456478,"2013/07/04","Thu",1.05130
2456479,"2013/07/05","Fri",1.05680
2456482,"2013/07/08","Mon",1.05760
2456483,"2013/07/09","Tue",1.05300
2456484,"2013/07/10","Wed",1.05110
2456485,"2013/07/11","Thu",1.03890
2456486,"2013/07/12","Fri",1.03920
2456489,"2013/07/15","Mon",1.04130
2456490,"2013/07/16","Tue",1.03880
2456491,"2013/07/17","Wed",1.04250
2456492,"2013/07/18","Thu",1.03960
2456493,"2013/07/19","Fri",1.03630
2456496,"2013/07/22","Mon",1.03370
2456497,"2013/07/23","Tue",1.03040
2456498,"2013/07/24","Wed",1.02980
2456499,"2013/07/25","Thu",1.02830
2456500,"2013/07/26","Fri",1.02910
2456503,"2013/07/29","Mon",1.02610
2456504,"2013/07/30","Tue",1.02930
2456505,"2013/07/31","Wed",1.02870
2456506,"2013/08/01","Thu",1.03380
2456507,"2013/08/02","Fri",1.03820
2456511,"2013/08/06","Tue",1.03790
2456512,"2013/08/07","Wed",1.04160
2456513,"2013/08/08","Thu",1.03480
2456514,"2013/08/09","Fri",1.03030
2456517,"2013/08/12","Mon",1.02970
2456518,"2013/08/13","Tue",1.03450
2456519,"2013/08/14","Wed",1.03220
2456520,"2013/08/15","Thu",1.03400
2456521,"2013/08/16","Fri",1.03450
2456524,"2013/08/19","Mon",1.03340
2456525,"2013/08/20","Tue",1.03760
2456526,"2013/08/21","Wed",1.04430
2456527,"2013/08/22","Thu",1.05120
2456528,"2013/08/23","Fri",1.05150
2456531,"2013/08/26","Mon",1.05140
2456532,"2013/08/27","Tue",1.05030
2456533,"2013/08/28","Wed",1.04900
2456534,"2013/08/29","Thu",1.05260
2456535,"2013/08/30","Fri",1.05530
2456539,"2013/09/03","Tue",1.05330
2456540,"2013/09/04","Wed",1.04820
2456541,"2013/09/05","Thu",1.05000
2456542,"2013/09/06","Fri",1.03900
2456545,"2013/09/09","Mon",1.03660
2456546,"2013/09/10","Tue",1.03570
2456547,"2013/09/11","Wed",1.03370
2456548,"2013/09/12","Thu",1.03200
2456549,"2013/09/13","Fri",1.03410
2456552,"2013/09/16","Mon",1.03160
2456553,"2013/09/17","Tue",1.02910
2456554,"2013/09/18","Wed",1.03120
2456555,"2013/09/19","Thu",1.02370
2456556,"2013/09/20","Fri",1.02870
2456559,"2013/09/23","Mon",1.02830
2456560,"2013/09/24","Tue",1.02950
2456561,"2013/09/25","Wed",1.02950
2456562,"2013/09/26","Thu",1.03210
2456563,"2013/09/27","Fri",1.03000
2456566,"2013/09/30","Mon",1.02850
2456567,"2013/10/01","Tue",1.03330
2456568,"2013/10/02","Wed",1.03320
2456569,"2013/10/03","Thu",1.03230
2456570,"2013/10/04","Fri",1.03060
2456573,"2013/10/07","Mon",1.03060
2456574,"2013/10/08","Tue",1.03310
2456575,"2013/10/09","Wed",1.03970
2456576,"2013/10/10","Thu",1.03830
2456577,"2013/10/11","Fri",1.03850
2456581,"2013/10/15","Tue",1.03710
2456582,"2013/10/16","Wed",1.03450
2456583,"2013/10/17","Thu",1.02850
