# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2457392,"2016/01/04","Mon",1.3969
2457393,"2016/01/05","Tue",1.3993
2457394,"2016/01/06","Wed",1.4084
2457395,"2016/01/07","Thu",1.4061
2457396,"2016/01/08","Fri",1.4151
2457399,"2016/01/11","Mon",1.4205
2457400,"2016/01/12","Tue",1.4291
2457401,"2016/01/13","Wed",1.4294
2457402,"2016/01/14","Thu",1.4373
2457403,"2016/01/15","Fri",1.4528
2457406,"2016/01/18","Mon",1.4507
2457407,"2016/01/19","Tue",1.4514
2457408,"2016/01/20","Wed",1.4589
2457409,"2016/01/21","Thu",1.4243
2457410,"2016/01/22","Fri",1.4151
2457413,"2016/01/25","Mon",1.4252
2457414,"2016/01/26","Tue",1.4062
2457415,"2016/01/27","Wed",1.4043
2457416,"2016/01/28","Thu",1.4073
2457417,"2016/01/29","Fri",1.4080
2457420,"2016/02/01","Mon",1.4006
2457421,"2016/02/02","Tue",1.4040
2457422,"2016/02/03","Wed",1.3846
2457423,"2016/02/04","Thu",1.3726
2457424,"2016/02/05","Fri",1.3876
2457427,"2016/02/08","Mon",1.3921
2457428,"2016/02/09","Tue",1.3820
2457429,"2016/02/10","Wed",1.3968
2457430,"2016/02/11","Thu",1.3930
2457431,"2016/02/12","Fri",1.3835
2457435,"2016/02/16","Tue",1.3860
2457436,"2016/02/17","Wed",1.3684
2457437,"2016/02/18","Thu",1.3721
2457438,"2016/02/19","Fri",1.3801
2457441,"2016/02/22","Mon",1.3685
2457442,"2016/02/23","Tue",1.3792
2457443,"2016/02/24","Wed",1.3766
2457444,"2016/02/25","Thu",1.3575
2457445,"2016/02/26","Fri",1.3547
2457448,"2016/02/29","Mon",1.3523
2457449,"2016/03/01","Tue",1.3407
2457450,"2016/03/02","Wed",1.3468
2457451,"2016/03/03","Thu",1.3407
2457452,"2016/03/04","Fri",1.3337
2457455,"2016/03/07","Mon",1.3301
2457456,"2016/03/08","Tue",1.3389
2457457,"2016/03/09","Wed",1.3236
2457458,"2016/03/10","Thu",1.3373
2457459,"2016/03/11","Fri",1.3215
2457462,"2016/03/14","Mon",1.3293
2457463,"2016/03/15","Tue",1.3359
2457464,"2016/03/16","Wed",1.3362
2457465,"2016/03/17","Thu",1.2984
2457466,"2016/03/18","Fri",1.2982
2457469,"2016/03/21","Mon",1.3069
2457470,"2016/03/22","Tue",1.3051
2457471,"2016/03/23","Wed",1.3203
2457472,"2016/03/24","Thu",1.3269
2457476,"2016/03/28","Mon",1.3184
2457477,"2016/03/29","Tue",1.3154
2457478,"2016/03/30","Wed",1.2962
2457479,"2016/03/31","Thu",1.2971
2457480,"2016/04/01","Fri",1.3047
2457483,"2016/04/04","Mon",1.3036
2457484,"2016/04/05","Tue",1.3170
2457485,"2016/04/06","Wed",1.3077
2457486,"2016/04/07","Thu",1.3163
2457487,"2016/04/08","Fri",1.2995
2457490,"2016/04/11","Mon",1.2913
2457491,"2016/04/12","Tue",1.2799
2457492,"2016/04/13","Wed",1.2792
2457493,"2016/04/14","Thu",1.2836
2457494,"2016/04/15","Fri",1.2858
2457497,"2016/04/18","Mon",1.2815
2457498,"2016/04/19","Tue",1.2656
2457499,"2016/04/20","Wed",1.2627
2457500,"2016/04/21","Thu",1.2710
2457501,"2016/04/22","Fri",1.2674
2457504,"2016/04/25","Mon",1.2680
2457505,"2016/04/26","Tue",1.2614
2457506,"2016/04/27","Wed",1.2635
2457507,"2016/04/28","Thu",1.2544
2457508,"2016/04/29","Fri",1.2549
2457511,"2016/05/02","Mon",1.2548
2457512,"2016/05/03","Tue",1.2686
2457513,"2016/05/04","Wed",1.2884
2457514,"2016/05/05","Thu",1.2853
2457515,"2016/05/06","Fri",1.2921
2457518,"2016/05/09","Mon",1.2994
2457519,"2016/05/10","Tue",1.2959
2457520,"2016/05/11","Wed",1.2836
2457521,"2016/05/12","Thu",1.2858
2457522,"2016/05/13","Fri",1.2940
2457525,"2016/05/16","Mon",1.2887
2457526,"2016/05/17","Tue",1.2885
2457527,"2016/05/18","Wed",1.2928
2457528,"2016/05/19","Thu",1.3116
2457529,"2016/05/20","Fri",1.3136
2457533,"2016/05/24","Tue",1.3118
2457534,"2016/05/25","Wed",1.3090
2457535,"2016/05/26","Thu",1.2981
2457536,"2016/05/27","Fri",1.3003
2457539,"2016/05/30","Mon",1.3061
2457540,"2016/05/31","Tue",1.3100
2457541,"2016/06/01","Wed",1.3091
2457542,"2016/06/02","Thu",1.3080
2457543,"2016/06/03","Fri",1.2948
2457546,"2016/06/06","Mon",1.2856
2457547,"2016/06/07","Tue",1.2789
2457548,"2016/06/08","Wed",1.2695
2457549,"2016/06/09","Thu",1.2731
2457550,"2016/06/10","Fri",1.2736
2457553,"2016/06/13","Mon",1.2792
2457554,"2016/06/14","Tue",1.2835
2457555,"2016/06/15","Wed",1.2914
2457556,"2016/06/16","Thu",1.3041
2457557,"2016/06/17","Fri",1.2878
2457560,"2016/06/20","Mon",1.2807
2457561,"2016/06/21","Tue",1.2818
2457562,"2016/06/22","Wed",1.2820
2457563,"2016/06/23","Thu",1.2752
2457564,"2016/06/24","Fri",1.2952
2457567,"2016/06/27","Mon",1.3078
2457568,"2016/06/28","Tue",1.3090
2457569,"2016/06/29","Wed",1.2991
2457570,"2016/06/30","Thu",1.3009
2457574,"2016/07/04","Mon",1.2844
2457575,"2016/07/05","Tue",1.2949
2457576,"2016/07/06","Wed",1.3005
2457577,"2016/07/07","Thu",1.2984
2457578,"2016/07/08","Fri",1.3073
2457581,"2016/07/11","Mon",1.3127
2457582,"2016/07/12","Tue",1.3016
2457583,"2016/07/13","Wed",1.2965
2457584,"2016/07/14","Thu",1.2915
2457585,"2016/07/15","Fri",1.2975
2457588,"2016/07/18","Mon",1.2984
2457589,"2016/07/19","Tue",1.3029
2457590,"2016/07/20","Wed",1.3040
2457591,"2016/07/21","Thu",1.3057
2457592,"2016/07/22","Fri",1.3178
2457595,"2016/07/25","Mon",1.3225
2457596,"2016/07/26","Tue",1.3209
2457597,"2016/07/27","Wed",1.3220
2457598,"2016/07/28","Thu",1.3170
2457599,"2016/07/29","Fri",1.3041
2457603,"2016/08/02","Tue",1.3089
2457604,"2016/08/03","Wed",1.3080
2457605,"2016/08/04","Thu",1.3025
2457606,"2016/08/05","Fri",1.3180
2457609,"2016/08/08","Mon",1.3164
2457610,"2016/08/09","Tue",1.3117
2457611,"2016/08/10","Wed",1.3060
2457612,"2016/08/11","Thu",1.3007
2457613,"2016/08/12","Fri",1.2945
2457616,"2016/08/15","Mon",1.2922
2457617,"2016/08/16","Tue",1.2862
2457618,"2016/08/17","Wed",1.2885
2457619,"2016/08/18","Thu",1.2775
2457620,"2016/08/19","Fri",1.2878
2457623,"2016/08/22","Mon",1.2942
2457624,"2016/08/23","Tue",1.2902
2457625,"2016/08/24","Wed",1.2940
2457626,"2016/08/25","Thu",1.2937
2457627,"2016/08/26","Fri",1.2947
2457630,"2016/08/29","Mon",1.3019
2457631,"2016/08/30","Tue",1.3076
2457632,"2016/08/31","Wed",1.3124
2457633,"2016/09/01","Thu",1.3107
2457634,"2016/09/02","Fri",1.2999
2457638,"2016/09/06","Tue",1.2843
2457639,"2016/09/07","Wed",1.2895
2457640,"2016/09/08","Thu",1.2909
2457641,"2016/09/09","Fri",1.3033
2457644,"2016/09/12","Mon",1.3077
2457645,"2016/09/13","Tue",1.3167
2457646,"2016/09/14","Wed",1.3189
2457647,"2016/09/15","Thu",1.3146
2457648,"2016/09/16","Fri",1.3213
2457651,"2016/09/19","Mon",1.3181
2457652,"2016/09/20","Tue",1.3228
2457653,"2016/09/21","Wed",1.3186
2457654,"2016/09/22","Thu",1.3039
2457655,"2016/09/23","Fri",1.3165
2457658,"2016/09/26","Mon",1.3197
2457659,"2016/09/27","Tue",1.3248
2457660,"2016/09/28","Wed",1.3242
2457661,"2016/09/29","Thu",1.3101
2457662,"2016/09/30","Fri",1.3117
2457665,"2016/10/03","Mon",1.3137
2457666,"2016/10/04","Tue",1.3170
2457667,"2016/10/05","Wed",1.3178
2457668,"2016/10/06","Thu",1.3210
2457669,"2016/10/07","Fri",1.3304
2457673,"2016/10/11","Tue",1.3239
2457674,"2016/10/12","Wed",1.3277
2457675,"2016/10/13","Thu",1.3219
2457676,"2016/10/14","Fri",1.3168
2457679,"2016/10/17","Mon",1.3138
2457680,"2016/10/18","Tue",1.3104
2457681,"2016/10/19","Wed",1.3107
2457682,"2016/10/20","Thu",1.3198
2457683,"2016/10/21","Fri",1.3324
2457686,"2016/10/24","Mon",1.3388
2457687,"2016/10/25","Tue",1.3334
2457688,"2016/10/26","Wed",1.3360
2457689,"2016/10/27","Thu",1.3386
2457690,"2016/10/28","Fri",1.3385
2457693,"2016/10/31","Mon",1.3403
2457694,"2016/11/01","Tue",1.3379
2457695,"2016/11/02","Wed",1.3390
2457696,"2016/11/03","Thu",1.3386
2457697,"2016/11/04","Fri",1.3412
2457700,"2016/11/07","Mon",1.3383
2457701,"2016/11/08","Tue",1.3337
2457702,"2016/11/09","Wed",1.3408
2457703,"2016/11/10","Thu",1.3475
2457707,"2016/11/14","Mon",1.3582
2457708,"2016/11/15","Tue",1.3468
2457709,"2016/11/16","Wed",1.3416
2457710,"2016/11/17","Thu",1.3429
2457711,"2016/11/18","Fri",1.3519
2457714,"2016/11/21","Mon",1.3437
2457715,"2016/11/22","Tue",1.3444
2457716,"2016/11/23","Wed",1.3470
2457717,"2016/11/24","Thu",1.3487
2457718,"2016/11/25","Fri",1.3514
2457721,"2016/11/28","Mon",1.3401
2457722,"2016/11/29","Tue",1.3435
2457723,"2016/11/30","Wed",1.3426
2457724,"2016/12/01","Thu",1.3331
2457725,"2016/12/02","Fri",1.3298
2457728,"2016/12/05","Mon",1.3272
2457729,"2016/12/06","Tue",1.3281
2457730,"2016/12/07","Wed",1.3252
2457731,"2016/12/08","Thu",1.3221
2457732,"2016/12/09","Fri",1.3164
2457735,"2016/12/12","Mon",1.3140
2457736,"2016/12/13","Tue",1.3120
2457737,"2016/12/14","Wed",1.3123
2457738,"2016/12/15","Thu",1.3397
2457739,"2016/12/16","Fri",1.3338
2457742,"2016/12/19","Mon",1.3397
2457743,"2016/12/20","Tue",1.3378
2457744,"2016/12/21","Wed",1.3401
2457745,"2016/12/22","Thu",1.3468
2457746,"2016/12/23","Fri",1.3535
2457751,"2016/12/28","Wed",1.3556
2457752,"2016/12/29","Thu",1.3488
2457753,"2016/12/30","Fri",1.3427
