# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2455930,"2012/01/03","Tue",1.00900
2455931,"2012/01/04","Wed",1.01350
2455932,"2012/01/05","Thu",1.01970
2455933,"2012/01/06","Fri",1.02320
2455936,"2012/01/09","Mon",1.02720
2455937,"2012/01/10","Tue",1.01640
2455938,"2012/01/11","Wed",1.01920
2455939,"2012/01/12","Thu",1.01980
2455940,"2012/01/13","Fri",1.02450
2455943,"2012/01/16","Mon",1.01700
2455944,"2012/01/17","Tue",1.01320
2455945,"2012/01/18","Wed",1.01400
2455946,"2012/01/19","Thu",1.00950
2455947,"2012/01/20","Fri",1.01430
2455950,"2012/01/23","Mon",1.00800
2455951,"2012/01/24","Tue",1.00970
2455952,"2012/01/25","Wed",1.01200
2455953,"2012/01/26","Thu",0.99860
2455954,"2012/01/27","Fri",1.00130
2455957,"2012/01/30","Mon",1.00320
2455958,"2012/01/31","Tue",1.00520
2455959,"2012/02/01","Wed",0.99710
2455960,"2012/02/02","Thu",0.99850
2455961,"2012/02/03","Fri",0.99450
2455964,"2012/02/06","Mon",0.99540
2455965,"2012/02/07","Tue",0.99480
2455966,"2012/02/08","Wed",0.99700
2455967,"2012/02/09","Thu",0.99410
2455968,"2012/02/10","Fri",1.00160
2455971,"2012/02/13","Mon",0.99960
2455972,"2012/02/14","Tue",0.99910
2455973,"2012/02/15","Wed",0.99650
2455974,"2012/02/16","Thu",0.99620
2455975,"2012/02/17","Fri",0.99700
2455978,"2012/02/20","Mon",0.99240
2455979,"2012/02/21","Tue",0.99550
2455980,"2012/02/22","Wed",1.00000
2455981,"2012/02/23","Thu",0.99850
2455982,"2012/02/24","Fri",0.99880
2455985,"2012/02/27","Mon",0.99830
2455986,"2012/02/28","Tue",0.99560
2455987,"2012/02/29","Wed",0.98660
2455988,"2012/03/01","Thu",0.98490
2455989,"2012/03/02","Fri",0.98880
2455992,"2012/03/05","Mon",0.99360
2455993,"2012/03/06","Tue",1.00150
2455994,"2012/03/07","Wed",0.99930
2455995,"2012/03/08","Thu",0.99210
2455996,"2012/03/09","Fri",0.98950
2455999,"2012/03/12","Mon",0.99350
2456000,"2012/03/13","Tue",0.99050
2456001,"2012/03/14","Wed",0.99150
2456002,"2012/03/15","Thu",0.99290
2456003,"2012/03/16","Fri",0.99140
2456006,"2012/03/19","Mon",0.98800
2456007,"2012/03/20","Tue",0.99330
2456008,"2012/03/21","Wed",0.99310
2456009,"2012/03/22","Thu",1.00030
2456010,"2012/03/23","Fri",0.99820
2456013,"2012/03/26","Mon",0.99220
2456014,"2012/03/27","Tue",0.99280
2456015,"2012/03/28","Wed",0.99840
2456016,"2012/03/29","Thu",0.99990
2456017,"2012/03/30","Fri",0.99910
2456020,"2012/04/02","Mon",0.99170
2456021,"2012/04/03","Tue",0.99100
2456022,"2012/04/04","Wed",0.99620
2456023,"2012/04/05","Thu",0.99280
2456027,"2012/04/09","Mon",0.99720
2456028,"2012/04/10","Tue",1.00280
2456029,"2012/04/11","Wed",1.00390
2456030,"2012/04/12","Thu",0.99500
2456031,"2012/04/13","Fri",0.99790
2456034,"2012/04/16","Mon",1.00240
2456035,"2012/04/17","Tue",0.98780
2456036,"2012/04/18","Wed",0.99020
2456037,"2012/04/19","Thu",0.99270
2456038,"2012/04/20","Fri",0.99110
2456041,"2012/04/23","Mon",0.99360
2456042,"2012/04/24","Tue",0.98830
2456043,"2012/04/25","Wed",0.98480
2456044,"2012/04/26","Thu",0.98410
2456045,"2012/04/27","Fri",0.98070
2456048,"2012/04/30","Mon",0.98840
2456049,"2012/05/01","Tue",0.98390
2456050,"2012/05/02","Wed",0.98910
2456051,"2012/05/03","Thu",0.98680
2456052,"2012/05/04","Fri",0.99560
2456055,"2012/05/07","Mon",0.99350
2456056,"2012/05/08","Tue",0.99970
2456057,"2012/05/09","Wed",1.00150
2456058,"2012/05/10","Thu",1.00170
2456059,"2012/05/11","Fri",0.99680
2456062,"2012/05/14","Mon",1.00190
2456063,"2012/05/15","Tue",1.00290
2456064,"2012/05/16","Wed",1.01020
2456065,"2012/05/17","Thu",1.01640
2456066,"2012/05/18","Fri",1.02100
2456070,"2012/05/22","Tue",1.01910
2456071,"2012/05/23","Wed",1.02750
2456072,"2012/05/24","Thu",1.02750
2456073,"2012/05/25","Fri",1.02850
2456076,"2012/05/28","Mon",1.02410
2456077,"2012/05/29","Tue",1.02530
2456078,"2012/05/30","Wed",1.02860
2456079,"2012/05/31","Thu",1.03490
2456080,"2012/06/01","Fri",1.03800
2456083,"2012/06/04","Mon",1.04180
2456084,"2012/06/05","Tue",1.04140
2456085,"2012/06/06","Wed",1.02970
2456086,"2012/06/07","Thu",1.02440
2456087,"2012/06/08","Fri",1.03320
