# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2456660,"2014/01/02","Thu",1.0633
2456661,"2014/01/03","Fri",1.0614
2456664,"2014/01/06","Mon",1.0659
2456665,"2014/01/07","Tue",1.0742
2456666,"2014/01/08","Wed",1.0804
2456667,"2014/01/09","Thu",1.0851
2456668,"2014/01/10","Fri",1.0917
2456671,"2014/01/13","Mon",1.0869
2456672,"2014/01/14","Tue",1.0934
2456673,"2014/01/15","Wed",1.0933
2456674,"2014/01/16","Thu",1.0926
2456675,"2014/01/17","Fri",1.0961
2456678,"2014/01/20","Mon",1.0962
2456679,"2014/01/21","Tue",1.0972
2456680,"2014/01/22","Wed",1.1069
2456681,"2014/01/23","Thu",1.1130
2456682,"2014/01/24","Fri",1.1062
2456685,"2014/01/27","Mon",1.1098
2456686,"2014/01/28","Tue",1.1148
2456687,"2014/01/29","Wed",1.1148
2456688,"2014/01/30","Thu",1.1171
2456689,"2014/01/31","Fri",1.1119
2456692,"2014/02/03","Mon",1.1076
2456693,"2014/02/04","Tue",1.1055
2456694,"2014/02/05","Wed",1.1101
2456695,"2014/02/06","Thu",1.1066
2456696,"2014/02/07","Fri",1.1018
2456699,"2014/02/10","Mon",1.1048
2456700,"2014/02/11","Tue",1.1025
2456701,"2014/02/12","Wed",1.0993
2456702,"2014/02/13","Thu",1.0980
2456703,"2014/02/14","Fri",1.0981
2456707,"2014/02/18","Tue",1.0953
2456708,"2014/02/19","Wed",1.1045
2456709,"2014/02/20","Thu",1.1104
2456710,"2014/02/21","Fri",1.1128
2456713,"2014/02/24","Mon",1.1058
2456714,"2014/02/25","Tue",1.1084
2456715,"2014/02/26","Wed",1.1117
2456716,"2014/02/27","Thu",1.1140
2456717,"2014/02/28","Fri",1.1075
2456720,"2014/03/03","Mon",1.1092
2456721,"2014/03/04","Tue",1.1114
2456722,"2014/03/05","Wed",1.1051
2456723,"2014/03/06","Thu",1.0966
2456724,"2014/03/07","Fri",1.1089
2456727,"2014/03/10","Mon",1.1105
2456728,"2014/03/11","Tue",1.1085
2456729,"2014/03/12","Wed",1.1132
2456730,"2014/03/13","Thu",1.1057
2456731,"2014/03/14","Fri",1.1087
2456734,"2014/03/17","Mon",1.1052
2456735,"2014/03/18","Tue",1.1086
2456736,"2014/03/19","Wed",1.1179
2456737,"2014/03/20","Thu",1.1251
2456738,"2014/03/21","Fri",1.1194
2456741,"2014/03/24","Mon",1.1217
2456742,"2014/03/25","Tue",1.1176
2456743,"2014/03/26","Wed",1.1143
2456744,"2014/03/27","Thu",1.1057
2456745,"2014/03/28","Fri",1.1064
2456748,"2014/03/31","Mon",1.1053
2456749,"2014/04/01","Tue",1.1027
2456750,"2014/04/02","Wed",1.1031
2456751,"2014/04/03","Thu",1.1035
2456752,"2014/04/04","Fri",1.0978
2456755,"2014/04/07","Mon",1.0971
2456756,"2014/04/08","Tue",1.0922
2456757,"2014/04/09","Wed",1.0903
2456758,"2014/04/10","Thu",1.0912
2456759,"2014/04/11","Fri",1.0960
2456762,"2014/04/14","Mon",1.0970
2456763,"2014/04/15","Tue",1.0981
2456764,"2014/04/16","Wed",1.1028
2456765,"2014/04/17","Thu",1.0998
2456769,"2014/04/21","Mon",1.1021
2456770,"2014/04/22","Tue",1.1026
2456771,"2014/04/23","Wed",1.1032
2456772,"2014/04/24","Thu",1.1027
2456773,"2014/04/25","Fri",1.1042
2456776,"2014/04/28","Mon",1.1033
2456777,"2014/04/29","Tue",1.0963
2456778,"2014/04/30","Wed",1.0957
2456779,"2014/05/01","Thu",1.0965
2456780,"2014/05/02","Fri",1.0973
2456783,"2014/05/05","Mon",1.0955
2456784,"2014/05/06","Tue",1.0890
2456785,"2014/05/07","Wed",1.0896
2456786,"2014/05/08","Thu",1.0858
2456787,"2014/05/09","Fri",1.0900
2456790,"2014/05/12","Mon",1.0887
2456791,"2014/05/13","Tue",1.0892
2456792,"2014/05/14","Wed",1.0887
2456793,"2014/05/15","Thu",1.0887
2456794,"2014/05/16","Fri",1.0882
2456798,"2014/05/20","Tue",1.0901
2456799,"2014/05/21","Wed",1.0933
2456800,"2014/05/22","Thu",1.0898
2456801,"2014/05/23","Fri",1.0870
2456804,"2014/05/26","Mon",1.0854
2456805,"2014/05/27","Tue",1.0869
2456806,"2014/05/28","Wed",1.0867
2456807,"2014/05/29","Thu",1.0837
2456808,"2014/05/30","Fri",1.0867
2456811,"2014/06/02","Mon",1.0895
2456812,"2014/06/03","Tue",1.0915
2456813,"2014/06/04","Wed",1.0937
2456814,"2014/06/05","Thu",1.0934
2456815,"2014/06/06","Fri",1.0936
2456818,"2014/06/09","Mon",1.0910
2456819,"2014/06/10","Tue",1.0915
2456820,"2014/06/11","Wed",1.0867
2456821,"2014/06/12","Thu",1.0851
2456822,"2014/06/13","Fri",1.0868
2456825,"2014/06/16","Mon",1.0850
2456826,"2014/06/17","Tue",1.0852
2456827,"2014/06/18","Wed",1.0870
2456828,"2014/06/19","Thu",1.0828
2456829,"2014/06/20","Fri",1.0766
2456832,"2014/06/23","Mon",1.0731
2456833,"2014/06/24","Tue",1.0740
2456834,"2014/06/25","Wed",1.0721
2456835,"2014/06/26","Thu",1.0707
2456836,"2014/06/27","Fri",1.0676
2456839,"2014/06/30","Mon",1.0676
2456841,"2014/07/02","Wed",1.0667
2456842,"2014/07/03","Thu",1.0634
2456843,"2014/07/04","Fri",1.0639
2456846,"2014/07/07","Mon",1.0662
2456847,"2014/07/08","Tue",1.0674
2456848,"2014/07/09","Wed",1.0650
2456849,"2014/07/10","Thu",1.0658
2456850,"2014/07/11","Fri",1.0720
2456853,"2014/07/14","Mon",1.0722
2456854,"2014/07/15","Tue",1.0766
2456855,"2014/07/16","Wed",1.0750
2456856,"2014/07/17","Thu",1.0753
2456857,"2014/07/18","Fri",1.0737
2456860,"2014/07/21","Mon",1.0737
2456861,"2014/07/22","Tue",1.0745
2456862,"2014/07/23","Wed",1.0741
2456863,"2014/07/24","Thu",1.0742
2456864,"2014/07/25","Fri",1.0814
2456867,"2014/07/28","Mon",1.0801
2456868,"2014/07/29","Tue",1.0851
2456869,"2014/07/30","Wed",1.0909
2456870,"2014/07/31","Thu",1.0890
2456871,"2014/08/01","Fri",1.0919
2456875,"2014/08/05","Tue",1.0970
2456876,"2014/08/06","Wed",1.0926
2456877,"2014/08/07","Thu",1.0922
2456878,"2014/08/08","Fri",1.0982
2456881,"2014/08/11","Mon",1.0935
2456882,"2014/08/12","Tue",1.0944
2456883,"2014/08/13","Wed",1.0929
2456884,"2014/08/14","Thu",1.0911
2456885,"2014/08/15","Fri",1.0910
2456888,"2014/08/18","Mon",1.0889
2456889,"2014/08/19","Tue",1.0929
2456890,"2014/08/20","Wed",1.0944
2456891,"2014/08/21","Thu",1.0948
2456892,"2014/08/22","Fri",1.0950
2456895,"2014/08/25","Mon",1.0980
2456896,"2014/08/26","Tue",1.0951
2456897,"2014/08/27","Wed",1.0891
2456898,"2014/08/28","Thu",1.0857
2456899,"2014/08/29","Fri",1.0858
2456903,"2014/09/02","Tue",1.0925
2456904,"2014/09/03","Wed",1.0873
2456905,"2014/09/04","Thu",1.0863
2456906,"2014/09/05","Fri",1.0890
