# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2456909,"2014/09/08","Mon",1.0933
2456910,"2014/09/09","Tue",1.1012
2456911,"2014/09/10","Wed",1.0955
2456912,"2014/09/11","Thu",1.1032
2456913,"2014/09/12","Fri",1.1076
2456916,"2014/09/15","Mon",1.1051
2456917,"2014/09/16","Tue",1.0990
2456918,"2014/09/17","Wed",1.0952
2456919,"2014/09/18","Thu",1.0946
2456920,"2014/09/19","Fri",1.0969
2456923,"2014/09/22","Mon",1.1008
2456924,"2014/09/23","Tue",1.1060
2456925,"2014/09/24","Wed",1.1090
2456926,"2014/09/25","Thu",1.1106
2456927,"2014/09/26","Fri",1.1164
2456930,"2014/09/29","Mon",1.1145
2456931,"2014/09/30","Tue",1.1208
2456932,"2014/10/01","Wed",1.1171
2456933,"2014/10/02","Thu",1.1151
2456934,"2014/10/03","Fri",1.1256
2456937,"2014/10/06","Mon",1.1175
2456938,"2014/10/07","Tue",1.1182
2456939,"2014/10/08","Wed",1.1182
2456940,"2014/10/09","Thu",1.1149
2456941,"2014/10/10","Fri",1.1177
2456945,"2014/10/14","Tue",1.1236
2456946,"2014/10/15","Wed",1.1289
2456947,"2014/10/16","Thu",1.1266
2456948,"2014/10/17","Fri",1.1248
2456951,"2014/10/20","Mon",1.1277
2456952,"2014/10/21","Tue",1.1219
2456953,"2014/10/22","Wed",1.1219
2456954,"2014/10/23","Thu",1.1237
2456955,"2014/10/24","Fri",1.1213
2456958,"2014/10/27","Mon",1.1247
2456959,"2014/10/28","Tue",1.1178
2456960,"2014/10/29","Wed",1.1136
2456961,"2014/10/30","Thu",1.1193
2456962,"2014/10/31","Fri",1.1275
2456965,"2014/11/03","Mon",1.1320
2456966,"2014/11/04","Tue",1.1397
2456967,"2014/11/05","Wed",1.1377
2456968,"2014/11/06","Thu",1.1424
2456969,"2014/11/07","Fri",1.1360
2456972,"2014/11/10","Mon",1.1345
2456974,"2014/11/12","Wed",1.1284
2456975,"2014/11/13","Thu",1.1350
2456976,"2014/11/14","Fri",1.1294
2456979,"2014/11/17","Mon",1.1308
2456980,"2014/11/18","Tue",1.1305
2456981,"2014/11/19","Wed",1.1350
2456982,"2014/11/20","Thu",1.1312
2456983,"2014/11/21","Fri",1.1238
2456986,"2014/11/24","Mon",1.1282
2456987,"2014/11/25","Tue",1.1261
2456988,"2014/11/26","Wed",1.1236
2456989,"2014/11/27","Thu",1.1333
2456990,"2014/11/28","Fri",1.1427
2456993,"2014/12/01","Mon",1.1344
2456994,"2014/12/02","Tue",1.1400
2456995,"2014/12/03","Wed",1.1360
2456996,"2014/12/04","Thu",1.1373
2456997,"2014/12/05","Fri",1.1423
2457000,"2014/12/08","Mon",1.1472
2457001,"2014/12/09","Tue",1.1422
2457002,"2014/12/10","Wed",1.1482
2457003,"2014/12/11","Thu",1.1535
2457004,"2014/12/12","Fri",1.1540
2457007,"2014/12/15","Mon",1.1630
2457008,"2014/12/16","Tue",1.1625
2457009,"2014/12/17","Wed",1.1629
2457010,"2014/12/18","Thu",1.1594
2457011,"2014/12/19","Fri",1.1629
2457014,"2014/12/22","Mon",1.1643
2457015,"2014/12/23","Tue",1.1627
2457016,"2014/12/24","Wed",1.1623
2457021,"2014/12/29","Mon",1.1632
2457022,"2014/12/30","Tue",1.1599
2457023,"2014/12/31","Wed",1.1601
