# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2458486,"2019/01/02","Wed",1.3600
2458487,"2019/01/03","Thu",1.3501
2458488,"2019/01/04","Fri",1.3410
2458491,"2019/01/07","Mon",1.3313
2458492,"2019/01/08","Tue",1.3293
2458493,"2019/01/09","Wed",1.3221
2458494,"2019/01/10","Thu",1.3234
2458495,"2019/01/11","Fri",1.3259
2458498,"2019/01/14","Mon",1.3269
2458499,"2019/01/15","Tue",1.3266
2458500,"2019/01/16","Wed",1.3248
2458501,"2019/01/17","Thu",1.3294
2458502,"2019/01/18","Fri",1.3260
2458505,"2019/01/21","Mon",1.3297
2458506,"2019/01/22","Tue",1.3340
2458507,"2019/01/23","Wed",1.3348
2458508,"2019/01/24","Thu",1.3351
2458509,"2019/01/25","Fri",1.3256
2458512,"2019/01/28","Mon",1.3260
2458513,"2019/01/29","Tue",1.3266
2458514,"2019/01/30","Wed",1.3192
2458515,"2019/01/31","Thu",1.3144
2458516,"2019/02/01","Fri",1.3095
2458519,"2019/02/04","Mon",1.3127
2458520,"2019/02/05","Tue",1.3134
2458521,"2019/02/06","Wed",1.3190
2458522,"2019/02/07","Thu",1.3285
2458523,"2019/02/08","Fri",1.3270
2458526,"2019/02/11","Mon",1.3294
2458527,"2019/02/12","Tue",1.3248
2458528,"2019/02/13","Wed",1.3240
2458529,"2019/02/14","Thu",1.3298
2458530,"2019/02/15","Fri",1.3266
2458534,"2019/02/19","Tue",1.3238
2458535,"2019/02/20","Wed",1.3169
2458536,"2019/02/21","Thu",1.3196
2458537,"2019/02/22","Fri",1.3173
2458540,"2019/02/25","Mon",1.3174
2458541,"2019/02/26","Tue",1.3195
2458542,"2019/02/27","Wed",1.3145
2458543,"2019/02/28","Thu",1.3169
2458544,"2019/03/01","Fri",1.3260
2458547,"2019/03/04","Mon",1.3317
2458548,"2019/03/05","Tue",1.3345
2458549,"2019/03/06","Wed",1.3420
2458550,"2019/03/07","Thu",1.3438
2458551,"2019/03/08","Fri",1.3422
2458554,"2019/03/11","Mon",1.3414
2458555,"2019/03/12","Tue",1.3378
2458556,"2019/03/13","Wed",1.3326
2458557,"2019/03/14","Thu",1.3327
2458558,"2019/03/15","Fri",1.3342
2458561,"2019/03/18","Mon",1.3345
2458562,"2019/03/19","Tue",1.3292
2458563,"2019/03/20","Wed",1.3317
2458564,"2019/03/21","Thu",1.3366
2458565,"2019/03/22","Fri",1.3411
2458568,"2019/03/25","Mon",1.3420
2458569,"2019/03/26","Tue",1.3386
