# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2457025,"2015/01/02","Fri",1.1728
2457028,"2015/01/05","Mon",1.1787
2457029,"2015/01/06","Tue",1.1804
2457030,"2015/01/07","Wed",1.1851
2457031,"2015/01/08","Thu",1.1812
2457032,"2015/01/09","Fri",1.1857
2457035,"2015/01/12","Mon",1.1930
2457036,"2015/01/13","Tue",1.1948
2457037,"2015/01/14","Wed",1.1958
2457038,"2015/01/15","Thu",1.1932
2457039,"2015/01/16","Fri",1.1986
2457042,"2015/01/19","Mon",1.1966
2457043,"2015/01/20","Tue",1.2085
2457044,"2015/01/21","Wed",1.2374
2457045,"2015/01/22","Thu",1.2371
2457046,"2015/01/23","Fri",1.2403
2457049,"2015/01/26","Mon",1.2411
2457050,"2015/01/27","Tue",1.2404
2457051,"2015/01/28","Wed",1.2451
2457052,"2015/01/29","Thu",1.2644
2457053,"2015/01/30","Fri",1.2717
2457056,"2015/02/02","Mon",1.2578
2457057,"2015/02/03","Tue",1.2456
2457058,"2015/02/04","Wed",1.2550
2457059,"2015/02/05","Thu",1.2422
2457060,"2015/02/06","Fri",1.2523
2457063,"2015/02/09","Mon",1.2448
2457064,"2015/02/10","Tue",1.2528
2457065,"2015/02/11","Wed",1.2635
2457066,"2015/02/12","Thu",1.2462
2457067,"2015/02/13","Fri",1.2449
2457071,"2015/02/17","Tue",1.2403
2457072,"2015/02/18","Wed",1.2455
2457073,"2015/02/19","Thu",1.2486
2457074,"2015/02/20","Fri",1.2506
2457077,"2015/02/23","Mon",1.2580
2457078,"2015/02/24","Tue",1.2603
2457079,"2015/02/25","Wed",1.2419
2457080,"2015/02/26","Thu",1.2490
2457081,"2015/02/27","Fri",1.2508
2457084,"2015/03/02","Mon",1.2535
2457085,"2015/03/03","Tue",1.2452
2457086,"2015/03/04","Wed",1.2440
2457087,"2015/03/05","Thu",1.2482
2457088,"2015/03/06","Fri",1.2616
2457091,"2015/03/09","Mon",1.2598
