# "PACIFIC Exchange Rate Service"
# "Jul.Day","YYYY/MM/DD","Wdy","CAD/USD"
2458121,"2018/01/02","Tue",1.2517
2458122,"2018/01/03","Wed",1.2533
2458123,"2018/01/04","Thu",1.2515
2458124,"2018/01/05","Fri",1.2403
2458127,"2018/01/08","Mon",1.2422
2458128,"2018/01/09","Tue",1.2454
2458129,"2018/01/10","Wed",1.2496
2458130,"2018/01/11","Thu",1.2535
2458131,"2018/01/12","Fri",1.2504
2458134,"2018/01/15","Mon",1.2422
2458135,"2018/01/16","Tue",1.2419
2458136,"2018/01/17","Wed",1.2425
2458137,"2018/01/18","Thu",1.2446
2458138,"2018/01/19","Fri",1.2459
2458141,"2018/01/22","Mon",1.2458
2458142,"2018/01/23","Tue",1.2454
2458143,"2018/01/24","Wed",1.2341
2458144,"2018/01/25","Thu",1.2323
2458145,"2018/01/26","Fri",1.2321
2458148,"2018/01/29","Mon",1.2335
2458149,"2018/01/30","Tue",1.2328
2458150,"2018/01/31","Wed",1.2293
2458151,"2018/02/01","Thu",1.2288
2458152,"2018/02/02","Fri",1.2380
2458155,"2018/02/05","Mon",1.2483
2458156,"2018/02/06","Tue",1.2530
2458157,"2018/02/07","Wed",1.2546
2458158,"2018/02/08","Thu",1.2585
2458159,"2018/02/09","Fri",1.2609
2458162,"2018/02/12","Mon",1.2603
2458163,"2018/02/13","Tue",1.2600
2458164,"2018/02/14","Wed",1.2562
2458165,"2018/02/15","Thu",1.2507
2458166,"2018/02/16","Fri",1.2540
2458170,"2018/02/20","Tue",1.2622
2458171,"2018/02/21","Wed",1.2671
2458172,"2018/02/22","Thu",1.2709
2458173,"2018/02/23","Fri",1.2668
2458176,"2018/02/26","Mon",1.2686
2458177,"2018/02/27","Tue",1.2740
2458178,"2018/02/28","Wed",1.2809
2458179,"2018/03/01","Thu",1.2851
2458180,"2018/03/02","Fri",1.2891
2458183,"2018/03/05","Mon",1.2977
2458184,"2018/03/06","Tue",1.2898
2458185,"2018/03/07","Wed",1.2947
2458186,"2018/03/08","Thu",1.2927
2458187,"2018/03/09","Fri",1.2840
2458190,"2018/03/12","Mon",1.2830
2458191,"2018/03/13","Tue",1.2912
2458192,"2018/03/14","Wed",1.2944
2458193,"2018/03/15","Thu",1.3032
2458194,"2018/03/16","Fri",1.3088
2458197,"2018/03/19","Mon",1.3079
2458198,"2018/03/20","Tue",1.3077
2458199,"2018/03/21","Wed",1.2958
2458200,"2018/03/22","Thu",1.2908
2458201,"2018/03/23","Fri",1.2856
2458204,"2018/03/26","Mon",1.2886
2458205,"2018/03/27","Tue",1.2869
2458206,"2018/03/28","Wed",1.2902
2458207,"2018/03/29","Thu",1.2894
2458211,"2018/04/02","Mon",1.2908
2458212,"2018/04/03","Tue",1.2812
2458213,"2018/04/04","Wed",1.2809
2458214,"2018/04/05","Thu",1.2776
2458215,"2018/04/06","Fri",1.2764
2458218,"2018/04/09","Mon",1.2729
2458219,"2018/04/10","Tue",1.2618
2458220,"2018/04/11","Wed",1.2584
2458221,"2018/04/12","Thu",1.2596
2458222,"2018/04/13","Fri",1.2597
2458225,"2018/04/16","Mon",1.2579
2458226,"2018/04/17","Tue",1.2552
2458227,"2018/04/18","Wed",1.2614
